"id.time2","level_2"
"A1BG","0.13545831733162"
"A1BG-AS1","0.135572692658482"
"A1CF","0.137895235001842"
"A2M","0.136300150852688"
"A2M-AS1","0.134930341224736"
"A2ML1","0.135768602243249"
"A2ML1-AS1","0.136524970131537"
"A2ML1-AS2","0.1331097466627"
"A4GALT","0.135768602243249"
"A4GNT","0.136562073354018"
"AAAS","0.133396096840299"
"AACS","0.134930341224736"
"AADAC","0.13644757432775"
"AADACL2","0.136317015690968"
"AADACL2-AS1","0.138485480275802"
"AADACL3","0.136652807915165"
"AADACL4","0.137234087632024"
"AADAT","0.137008029120556"
"AAED1","0.134581694869421"
"AAGAB","0.134385654436883"
"AAK1","0.13545831733162"
"AAMDC","0.135352174316319"
"AAMP","0.134135236236894"
"AANAT","0.137234087632024"
"AAR2","0.13790388150286"
"AARD","0.136562073354018"
"AARS","0.136652807915165"
"AARS2","0.139452693721156"
"AARSD1","0.134385654436883"
"AASDH","0.133737423301577"
"AASDHPPT","0.133737423301577"
"AASS","0.137191254754177"
"AATBC","0.138842467131473"
"AATF","0.13644757432775"
"AATK","0.134770578815514"
"AATK-AS1","0.133453214595808"
"AB015752.3","0.133453214595808"
"AB019440.50","0.134089126369048"
"ABALON","0.136317015690968"
"ABAT","0.135800264404046"
"ABC12-49244600F4.4","0.138480047011034"
"ABC7-42404400C24.1","0.136652807915165"
"ABCA1","0.13790388150286"
"ABCA10","0.132604184087832"
"ABCA12","0.134770578815514"
"ABCA13","0.137191254754177"
"ABCA2","0.13790388150286"
"ABCA3","0.136652807915165"
"ABCA4","0.133453214595808"
"ABCA5","0.136652807915165"
"ABCA6","0.138480047011034"
"ABCA7","0.138083485156067"
"ABCA8","0.136355564745913"
"ABCA9","0.135768602243249"
"ABCA9-AS1","0.135572692658482"
"ABCB1","0.134272540962624"
"ABCB10","0.135768602243249"
"ABCB11","0.13644757432775"
"ABCB4","0.135590601959882"
"ABCB5","0.134770578815514"
"ABCB6","0.134385654436883"
"ABCB7","0.138083485156067"
"ABCB8","0.13545831733162"
"ABCB9","0.134770578815514"
"ABCC1","0.1385869734998"
"ABCC10","0.137191254754177"
"ABCC11","0.13790388150286"
"ABCC12","0.135590601959882"
"ABCC2","0.133396096840299"
"ABCC3","0.135352174316319"
"ABCC4","0.136355564745913"
"ABCC5","0.135800264404046"
"ABCC5-AS1","0.137191254754177"
"ABCC6","0.135800264404046"
"ABCC8","0.132662161954431"
"ABCC9","0.134135236236894"
"ABCD1","0.136652807915165"
"ABCD2","0.136524970131537"
"ABCD3","0.134581694869421"
"ABCD4","0.137501831634967"
"ABCE1","0.137008029120556"
"ABCF1","0.135768602243249"
"ABCF2","0.134770578815514"
"ABCF3","0.134135236236894"
"ABCG1","0.136355564745913"
"ABCG2","0.136300150852688"
"ABCG4","0.1331097466627"
"ABCG5","0.135768602243249"
"ABCG8","0.13828624529757"
"ABHD1","0.134385654436883"
"ABHD10","0.134930341224736"
"ABHD11","0.135768602243249"
"ABHD11-AS1","0.133246269690045"
"ABHD12","0.134089126369048"
"ABHD12B","0.135768602243249"
"ABHD13","0.135857031057219"
"ABHD14A","0.135590601959882"
"ABHD14A-ACY1","0.132225820199113"
"ABHD14B","0.133737423301577"
"ABHD15","0.136562073354018"
"ABHD15-AS1","0.135800264404046"
"ABHD16A","0.136652807915165"
"ABHD16B","0.13545831733162"
"ABHD17A","0.137501831634967"
"ABHD17B","0.137895235001842"
"ABHD17C","0.13313686741649"
"ABHD18","0.138083485156067"
"ABHD2","0.136317015690968"
"ABHD3","0.134930341224736"
"ABHD4","0.135590601959882"
"ABHD5","0.136562073354018"
"ABHD6","0.137191254754177"
"ABHD8","0.136300150852688"
"ABI1","0.138083485156067"
"ABI2","0.133737423301577"
"ABI3","0.138083485156067"
"ABI3BP","0.136524970131537"
"ABL1","0.133737423301577"
"ABL2","0.134135236236894"
"ABLIM1","0.134770578815514"
"ABLIM2","0.137470340820322"
"ABLIM3","0.132662161954431"
"ABO","0.132604184087832"
"ABR","0.135352174316319"
"ABRA","0.13790388150286"
"ABRACL","0.136562073354018"
"ABT1","0.134930341224736"
"ABTB1","0.133453214595808"
"ABTB2","0.135352174316319"
"AC000032.2","0.133453214595808"
"AC000035.3","0.137470340820322"
